RMSD,Area,ED,Energy,SS,ResidueLength,PairNumber
3,7545.22,13874.6,-78.067,19,127,802
0,12966.8,121213,-5715,47,253,4908
5,5124.83,2721.01,-1193.7,11,65,202
3,3865.48,1129.59,-691.99,8,55,88
4,6813.67,7484.85,1303.6,27,109,432
0,12260.4,39182,-4420,33,236,1813
0,5433.29,5186,-2792,12,98,397
5,4436.28,2435.1,-332.87,25,63,184
2,3631.6,1328.17,28702.8,2,40,100
4,5931.96,1075.59,-1279.3,8,57,76
2,5440.48,7517.29,-1563.41,99,104,457
4,8815.24,27352.5,-1299.55,180,158,1403
1,4393.54,3097.06,-1259.2,5,62,245
5,10820.9,52155.9,553.284,181,209,2534
0,7233.48,11814,-3064,4,121,725
0,11430.7,53225,-5573,111,255,2391
5,6715.9,6713.55,20522.6,106,95,427
1,6232.97,4323.06,-870.1,14,106,318
4,5954.94,11120.2,-511.442,252,102,764
2,7065.65,8949.41,19.0332,129,95,543
2,4027.74,1464.02,-858.046,155,52,133
4,6623.01,6269.26,8003.59,120,95,427
1,4077.25,1527.19,-986.93,4,55,133
4,8559.19,20973.9,-153.84,33,143,1203
5,3689.09,467.221,-638.68,3,36,35
4,3412.18,656.199,203.57,5,31,53
4,11485.2,58283.8,61116.3,165,209,2967
1,4442.31,1906.5,-354.81,12,75,165
3,4471.27,507.312,-294.08,22,65,35
5,5094.65,2348.61,868.93,27,76,165
2,22974.9,520332,-4051.13,363,540,18067
0,10617.2,27365,-4101,38,210,1527
4,10980.9,48664.3,-1234.25,90,190,2118
1,12404.9,49597.2,-3244.94,31,262,2394
2,8395.93,10480.5,-1317.55,16,139,587
4,8626.33,9161.36,1241.5,40,144,553
5,7817.68,4321.76,-417.156,102,131,271
0,7629.46,12650,-3142,18,134,733
0,8209.78,33790,-3368,92,156,1744
5,10746.2,50074.4,-1350.19,88,190,2118
0,9761.2,34220,-4547,23,188,1991
2,20943.8,148080,-599.336,339,449,5537
0,6082.44,9156,-3039,17,100,651
3,10023.1,24580.4,-805.416,62,177,1313
0,8393.12,25818,-2760,37,171,1261
4,15820.9,215930,-122.316,265,336,8195
4,10288.2,24137,16084.7,121,154,1252
0,16002.9,201826,-7738,41,324,7204
5,3681.57,592.282,-588.02,14,43,52
2,5914.98,3670.53,43015.7,24,85,269
0,4885.3,5091,-1661,14,83,367
3,13304.8,75350.4,-5243.16,180,264,3217
5,3687.98,577.322,-433.24,15,43,52
1,11402.8,41607.6,4995.66,214,227,2059
0,15993,70456,-8891,31,250,1817
1,4586.05,1048.87,-694.3,28,62,102
3,13898.2,137146,-1226.16,209,279,5626
1,5952.97,5190.62,-1573,7,105,371
3,5747.48,7700.41,-771.27,14,99,583
3,9277.61,39095.3,-1213.43,73,196,1885
4,4549.41,6697.2,-173.97,15,68,481
4,9841.96,14423.7,-1053.89,105,148,729
3,8871.28,16666.4,-2576.69,19,142,844
5,3801.86,565.43,-367.34,15,43,52
4,20541,413002,1350.1,96,459,14125
2,7921.73,9397.01,3780.21,198,130,490
3,4177.11,2435.66,-969.29,20,63,184
4,6609.33,7456.66,1234.7,29,109,432
5,4143.86,6416.43,-443.9,28,68,481
2,3873.43,1386.32,-795.736,164,52,133
3,9031.81,22147.8,548.6,35,143,1203
0,9712.34,44845,-5404,22,204,2254
2,3978.24,2297.21,-1284.5,18,63,184
0,7277.55,9470,-3430,92,135,585
4,5439.96,1146.4,-1572,5,57,76
0,15031.8,94946.7,-6623.29,202,283,4064
3,3359.58,606.95,474.96,15,51,45
2,14252.3,136011,-5045.43,44,279,5626
4,10136.4,51754.5,1227.89,61,209,2534
3,4728.81,3000.67,-599.857,17,71,249
5,3751.79,567.511,-544.27,9,43,52
4,10962.8,38811.3,-719.496,28,193,2118
5,13969.8,65504.9,2172080,148,254,2904
0,12958.4,95991,-8195,128,270,4059
4,14202.9,71256.5,-3825.38,119,224,2192
3,9389.33,30515.1,-3047.42,34,171,1747
4,6907.81,11525.5,-1177.91,148,111,651
0,7654.66,12754,-2024,22,132,766
5,4459.11,1747.14,-118.38,8,61,116
3,15217.4,135730,2087.06,216,279,5626
2,11664.6,37512.9,37406.6,25,235,1818
0,8157.24,25093,-1704,41,150,1463
5,10462.8,17380.1,-3917.29,158,172,973
5,7471.89,10898.7,349009,77,114,689
0,9972.31,22175,-4675,33,184,1210
1,5018.21,3015.95,-2292.1,4,65,202
4,12430.4,93230.1,-5095.63,214,254,3885
5,15338.4,160022,3352.8,127,310,6737
4,8779.69,8844.13,2529.3,37,144,553
2,3924.91,673.227,-155.89,14,58,43
2,5772.43,11106.8,1322.13,24,102,764
0,11933.3,58048,-5589,74,255,2754
4,12744.4,72243.7,-2201.48,185,262,3211
1,6103.78,5214.05,-948.16,7,105,371
2,3830.27,1447.86,-748.611,159,52,133
2,14794,135930,8983.86,53,279,5626
0,6939.92,8320,-2453,8,100,552
1,4559.15,1041.76,-491.99,28,62,102
3,9940.74,40255.6,-1555.79,116,207,1995
4,3873.25,630.866,-558.21,17,58,43
1,7913.21,13697.7,-2691.78,36,170,771
3,14559.1,142126,-4615.03,320,308,6057
1,5675.65,2582.74,-3637.2,13,87,166
0,4589.01,1933,-1706,10,61,148
0,13749.4,59648,-5627,32,275,2753
3,3418.76,672.834,40.43,5,31,53
4,6587.84,4806.37,74838300000,57,86,367
0,14318.2,54357,-5977,81,268,2536
3,6006.78,3975.6,-556.753,10,85,269
2,6226.32,4178.11,-1421.39,80,88,318
3,12326,33661.3,1310.3,53,210,1213
5,9116.3,12158.9,1718.3,29,152,693
0,16648.2,149348,-8617,49,302,5522
2,4013.19,2168.84,1575.08,183,54,165
0,12998.8,44231,-3698,128,225,1642
4,4623.28,2324.98,-412.04,8,61,184
4,11571.2,80819.9,15534.5,113,252,3882
4,4128.6,6667.76,-539.65,20,68,481
3,10795.7,39048.1,12746.3,203,193,2118
2,4499.89,6283.03,-512.75,11,68,481
4,3476.17,694.13,175.71,4,31,53
5,8454.89,22034.3,-703.48,191,145,1156
4,19276.6,165990,-11085.5,333,448,5537
1,6084.21,5110.9,50805.1,12,99,321
5,4120.55,401.724,1493,11,54,28
1,3873.52,1210.69,-892.27,9,55,88
5,4615.07,6241.93,-411.08,23,68,481
5,11188.6,47305.7,-3876.39,94,190,2118
3,10629.4,48099.8,102505,69,190,2118
4,4253.55,461.89,369.58,23,65,35
3,7268.37,17310.1,-2241.6,7,128,1065
1,3808.05,1198.28,-822.92,9,55,88
4,7685.79,14274.7,-851.969,96,120,809
0,4034.87,1376,-646,15,54,101
1,6866.06,7785.69,-2901.2,11,117,427
5,6664.58,14725.6,-734.07,17,103,883
5,3388.99,576.418,-495.79,14,43,52
5,7323.8,7057.71,-431.054,40,108,428
2,19628.5,151385,-7118.38,334,449,5537
2,12298.7,74257.5,-4033.82,40,249,3630
1,5577.14,4738.24,-1461.78,19,85,343
3,5084.31,4414.18,-1072,11,85,346
0,9922.61,71160,-6263,20,208,3531
0,12782.6,63943,-5420,57,250,2827
5,4668.81,1210.44,-1560.16,34,71,103
2,7089.67,11446.2,-1134.67,150,111,651
0,6028.46,3836,-1663,13,89,246
4,14461.1,87179.3,4394.5,87,289,3710
0,16961.3,206684,-9240,89,339,7700
5,6375.17,5088.48,-1059.25,67,86,367
4,5384.26,4475.05,349820,9,79,342
5,6906.36,8562.28,-3660.9,11,106,549
5,3468.12,680.268,-215.44,4,31,53
4,7664.5,13238.6,477.463,276,170,771
5,6725.73,9949.45,1231,23,115,547
3,4346.96,2625.13,-1101.2,18,65,202
0,17238.6,76475,-9840,47,358,3140
3,12385.5,37558.3,-5149.74,201,225,1755
2,7501.34,4183.85,-1346.3,87,101,249
0,7256.58,16538,-2855,47,117,928
3,4929.7,2094.04,-747.81,3,75,165
0,14119.6,117576,-6711,65,286,4623
1,3692.07,1193.52,-838.32,8,55,88
2,4710.87,2013.63,-464.03,9,75,165
4,7563.29,15490.6,-994.201,87,134,970
5,4224.44,556.574,265.19,26,65,35
3,5045.19,3269.42,-368.697,160,71,249
5,16262,214557,468655,280,336,8195
5,8518.2,25884.1,-450.215,47,156,1364
1,4487.23,964.452,-712.39,4,55,88
1,6381.62,8208.72,-1358.9,14,108,549
1,5249.22,3700.6,-1323.2,8,89,249
4,3556.77,732.423,283.35,7,31,53
5,10990,43794.4,-872.167,29,197,2257
3,4536.43,989.437,-988.94,21,66,101
2,11780.2,74478,-5247.81,26,249,3630
3,4456.34,1013.53,-583.98,19,66,101
3,11559.4,43948.9,577075,92,166,1414
3,9750.92,30828.8,4050440,46,171,1747
5,3570.44,573.574,-75.474,13,43,52
0,13731.5,85350,-6827,107,259,3297
2,4859.67,1783.11,-999.69,4,70,131
3,5503.41,2522.25,298.77,5,81,169
0,7510.54,9256,-3518,49,120,584
5,9166.97,21664,-643.472,209,145,1156
2,12983.4,57561.4,241488,165,209,2967
4,3679.03,543.626,-482.79,5,43,52
0,8101.63,25110,-3365,22,151,1411
2,7750.75,9238.05,-1523.17,85,138,554
5,8165.5,16990.1,-848.012,99,134,970
0,19377,128979,-4644,47,303,2824
5,7558.02,7410.29,-1122.71,107,95,427
3,11609.3,79400.6,-6198.65,41,272,3539
5,6954.85,9276.71,7396.06,197,98,520
2,5417.1,3421.08,-765.787,137,51,132
5,7083.68,5913.33,-1005.16,86,95,372
0,15025.5,77663,-5382,55,289,3460
0,13077.4,80616,-6104,42,299,3463
5,4725.95,2827.88,-794.58,16,65,202
2,13773.5,135837,-2981.48,217,279,5626
5,3548.94,365.999,2189.2,11,54,28
3,4579.07,2674.03,-1226.3,19,65,202
2,5497,3541.24,-725.291,2,51,132
3,21138.7,408618,-7542.04,63,473,14125
3,3999.74,385.689,896.1,11,54,28
0,9477.32,19716.2,-832.89,35,151,936
2,14422.1,59520.7,354.064,149,305,2610
5,4283.98,6441.53,-375.58,14,68,481
4,3561.64,530.191,-380.5,7,43,52
4,5993.45,11122.5,-358.539,252,102,764
4,21006.5,407788,-45.0708,90,467,14125
1,6144.3,8034.82,-3243.1,4,106,549
2,6725.32,5383.21,-792.445,50,79,292
4,3655.09,567.558,-464.33,5,43,52
0,8174.63,36478,-2661,15,144,1925
2,9858.21,10160.9,-2406.85,101,154,587
4,9442.41,11107,2010470000,36,156,654
2,16910.5,159964,-3743.06,242,352,6744
0,8058.96,14685,-2836,10,152,849
3,8229.78,14283.4,-1936.13,17,140,845
3,6212.36,10182.9,-2181.72,27,109,689
5,10256.7,23732.5,-1131.63,76,152,1165
4,6174.77,4106.29,-104.55,13,100,294
4,14922.6,154596,2441.2,115,310,6737
5,20735.5,410852,167.467,89,462,0
0,7654.51,17279,-2452,21,146,1020
3,7559.54,14025,-1816.63,29,120,809
0,10612.5,36323,-6617,131,227,1757
5,14630.1,75508.8,2737.5,96,336,3302
3,12973.4,36732.2,-1559.59,149,225,1755
5,10626.2,40092.2,109638,215,159,2181
4,22801,281963,2319.06,256,468,9276
5,3606.62,464.767,-654.23,2,36,35
1,5950.65,6905.25,-3547.2,24,92,485
3,19198.4,165888,771542000,191,352,6744
3,12262.3,38584.6,90170.7,38,235,1818
2,3852.78,1448.62,-647.497,156,52,133
5,8150.94,7926.71,-1303.68,63,109,486
4,4887.96,1994.33,-934.414,112,66,166
5,3502.05,434.433,-659.8,1,36,35
0,11696.1,52790,-4227,42,226,2749
3,16002,220674,-4158.52,267,336,8195
0,8018.17,15195,-3919,14,145,847
5,9629.37,16137.6,55544700,49,160,976
5,4246.94,478.125,-0.88595,26,65,35
3,10959.1,48336.4,69183.5,94,190,2118
3,3857.32,2196.31,-520.709,3,43,161
2,4542.15,1047.71,-545.82,28,62,102
0,6730.38,3413,-2873,40,91,205
0,14510.6,145694,-9219,48,325,6063
3,4575.71,1037.61,-932.77,20,66,101
0,6850.45,11195.1,-1613.41,2,92,551
4,3367.65,689.224,119.35,2,31,53
0,15420.5,182696,-8513.45,265,367,7087
4,10032.3,21665,1930540,144,152,1165
0,8215.99,13760,-3231.6,118,170,771
5,3443.55,704.014,-124.68,3,31,53
5,3573.18,467.41,-574,3,36,35
4,9602.04,17199.3,-1394.11,27,142,844
4,3741.48,440.685,-795.75,2,36,35
5,16159,88811.1,262300,83,289,3710
4,3796.22,555.695,-622.26,5,43,52
1,5171.82,3359.93,-1783.6,21,70,205
0,3891.56,889,-710,1,58,75
0,13209,116763,-5828,55,313,4728
0,6823.6,17785,-1714,112,142,1018
0,15275.6,116938,-12641,76,418,4717
3,4949.22,1919.7,-644,2,66,164
0,11482.5,67909,-4368,33,231,3128
1,4135.71,1541.61,-756.68,4,55,133
3,3819.1,470.265,-975.35,3,36,35
5,4629,544.51,-101.16,22,65,35
0,5043.6,4041.37,-1235.5,11,85,346
0,4594.18,3504.35,-884.23,34,75,269
4,3754.24,415.092,654.28,11,54,28
4,11439.4,31969.6,2692.18,139,203,1580
3,6109.85,7563.37,-1511.11,76,93,545
2,6623.89,12079.4,-290.139,216,105,765
0,44446.3,2426140,-25461,110,974,52210
3,13537.8,95788.7,-908.341,198,273,4429
3,12052.6,39046.9,329.112,39,235,1818
2,10524.8,42549.8,-1728.65,123,197,2257
1,3941.24,1183.82,-863.58,9,55,88
1,6398.96,4970.15,-1533.9,17,87,322
3,24278.9,242786,138924,287,537,8350
5,20556.8,277116,1695.64,297,420,9137
4,6230.8,1893.48,-1467.52,7,84,136
4,10047.3,12399.3,-2403.1,37,136,619
5,9723.77,17299.8,-1919.36,30,172,973
1,5397.96,5598.72,-1435,6,89,425
2,6232.72,7348.94,-1280.52,80,93,545
3,6632.2,1873.72,-1200.99,9,84,136
4,7030.81,4384.99,84.658,22,100,294
3,9470.23,30532.8,-3032.63,34,171,1747
1,3898.2,1203.59,-792.36,9,55,88
2,6230.32,11195.3,-744.412,24,102,764
3,11978.8,33776.7,1844.3,49,210,1213
1,5182.55,3681.8,-379.08,21,82,289
4,11002.1,37111,-4510.66,188,208,1691
3,11784.2,52401,-291.322,152,218,2391
3,11958.3,33338,4096.4,47,210,1213
2,6290.21,8367.09,-1704,11,100,551
0,18129.7,222326,-12236.8,306,498,7962
1,3958.85,1192.73,-710.92,9,55,88
5,3843.48,535.288,-373.16,6,43,52
2,12397,74816,-5066.46,35,249,3630
5,10673.3,26522.4,-1338.42,108,172,1412
4,5856.02,7299.39,-515.038,10,93,545
4,23112.1,280625,-1075.9,299,468,9276
3,9967.05,30057.3,173.448,218,171,1747
5,9439.05,18053,-2153.88,30,133,890
0,22483.8,353735,-14115,71,533,11885
2,15282.4,90866.2,73158.8,283,254,3973
4,8259.91,8825.87,1468.6,35,144,553
3,13097.5,60734,-2188.26,32,247,2754
4,9936.06,36688.1,-3600.28,28,196,1997
3,4427.64,2392.56,-825.48,20,63,184
3,6349.34,7311,226.735,45,93,545
3,7879.99,9164.41,-558.466,87,138,554
4,12562.3,93459.5,-5022.25,215,254,3885
0,10516.4,60202,-6683,124,210,2745
2,8162.92,33024.6,384.878,23,148,1919
0,5291.91,6072,-2804,7,89,428
0,10380,18576,-3511,21,204,980
3,4530.51,2211.83,-1526.5,12,71,188
3,15511.5,85332.5,899.337,104,301,3369
0,8747.81,22860,-3547,25,114,809
3,12981.8,60943.9,-1259.74,24,247,2754
5,20575.2,202821,-23.9122,161,390,7459
3,8735.86,16141.3,-1413.71,38,160,976
2,8716.7,33040,164072000,21,148,1919
5,14960.1,78290.2,1991.15,272,336,3302
2,7883.39,9476.29,-2251.63,204,130,490
5,3795.6,518.138,-312.53,10,43,52
1,4825.98,2834.51,-1236.93,119,77,244
0,10531.8,105416,-4725,34,245,4999
4,12786.9,55984.5,131206,123,224,2192
3,7553.7,14013.7,-1829.76,30,120,809
3,12733,79056.2,57974.9,50,272,3539
0,7120.12,11385,-3334,25,131,656
5,3678.01,583.46,-374.16,14,43,52
4,14683.6,87812.9,-6110.31,94,301,3369
0,21038.7,466494,-14581,305,497,16216
5,6183.86,9644.05,-677.786,132,98,651
2,3917.02,785.971,-2009.3,13,54,64
3,11845.1,34203.6,1669.3,52,210,1213
0,6991.97,10710,-4395,13,131,653
5,4408.19,6611.86,-569.43,23,68,481
3,3718.25,487.021,-600.17,1,36,35
1,4421,1770.47,-878.44,8,66,164
0,4262.84,409,-952,9,55,36
4,13500.6,60791.9,-5242.53,23,247,2754
5,4188.56,6053.07,-614.45,13,68,481
5,9530.78,11261.9,861167,41,156,654
4,3647.33,465.122,-762.33,1,36,35
3,8813.64,25121.5,-1665.96,32,157,1519
1,8447.04,15657.9,-3148.7,31,141,932
4,10525.3,33142.6,9090320,122,176,1922
3,8910.43,12388.8,1460680,118,136,619
0,20947,156105,-8543,105,452,5433
0,14937.5,63855,-7274,134,270,2611
3,4946.97,1422.95,-729.295,115,59,112
4,9199.84,10936.1,-1195,46,156,654
2,6397.77,5278.02,-1490.6,7,105,371
0,7903.91,13417,-1334,91,144,692
5,5263.66,4562.13,67897000,8,79,342
2,4420.45,975.285,-668.24,4,55,88
0,26007.7,797757,-16135,76,601,20021
3,14810.9,86376.4,-506.957,72,291,3799
2,7040.37,4036.99,-1704.49,87,101,249
3,8196.45,11759.7,-1810.58,60,128,693
3,7296.62,17443.6,-2158.7,8,128,1065
3,3383.5,671.888,304.53,6,31,53
0,14747.2,87630,-5471,157,318,3885
4,10029,12069.6,-2361.03,46,136,619
5,9359.72,16074.3,-385.155,180,133,890
3,3460.13,692.013,198.62,6,31,53
3,24202.3,270592,3008.71,293,537,8350
4,13057.5,80033,-5281.68,48,272,3539
3,7066.65,14293.5,-787.631,100,120,809
5,4386.5,2702.81,-1088.6,33,65,202
3,7848.26,14305,568.02,22,127,802
0,15563.5,101245,-7593,60,309,4155
2,15099.9,251940,-924.222,102,346,7851
1,4828,2886.39,-958.604,19,77,244
2,14875.8,88433.5,-6696.15,94,301,3369
4,7245.58,7688.71,775.07,40,109,432
5,3585.81,534.821,-329.3,14,43,52
0,10247.1,21673,-5139,41,197,1025
5,3848.94,2526.5,-876.4,40,63,184
1,5893.8,6943.47,-3263,22,92,485
3,11682,52680.2,31441.6,155,218,2391
2,4717.17,2247.39,-1756.9,10,71,188
5,3601.06,478.175,-772.51,4,36,35
4,3656.76,579.411,-211.84,11,43,52
5,3719.81,591.368,-315.24,12,43,52
3,9948.72,30795.4,-1124.07,230,171,1747
4,5730.05,4523.23,-947.366,87,72,340
5,4262.77,2566.83,-1170.4,33,63,184
2,4262.13,709.249,-699.29,24,58,43
0,11273.7,70129,-5918,40,240,3052
1,5676.26,5086.94,-1558.81,11,99,321
5,5788.58,4162.94,437.94,25,100,294
4,12087.1,69153.9,180.999,186,262,3211
0,8260.54,10455,-2182,23,136,584
3,6496.48,7581.84,-1139.96,9,93,545
1,4336.56,2115.41,-1558.6,10,71,188
3,6592.11,11568.7,-1144.33,86,102,764
5,3648.49,489.831,-834.72,2,36,35
0,5799.93,6030,-1152,12,80,316
5,3751.59,382.3,980.89,11,54,28
0,12764.2,48389,-3600,76,250,1639
4,12076.5,76188.2,2436.93,45,252,3882
5,12924.3,96336.5,-2619.67,190,273,4429
2,4628.43,569.711,-296.26,23,65,35
3,13203.9,90468.9,-4710.24,213,254,3885
5,20504.8,274060,24021.8,307,420,9137
2,10800.6,33787.8,-5143.56,125,234,1581
5,6652.41,4287.43,-580.489,135,101,270
2,8692.59,34207.9,-2177.61,19,148,1919
0,10587.5,33936,-4754,101,214,1696
3,5153.38,3480.37,-593.444,133,51,132
3,6943.69,13480.9,-925.939,20,96,804
5,5869.3,2611.41,301.34,6,81,169
4,8533.25,9710.12,-1003.01,92,138,554
0,9409.38,15514,-2695,32,146,735
4,9918.04,26001.1,-368.391,27,174,1415
4,3611.15,560.18,-615.07,5,43,52
3,6207.92,1874.89,173.791,71,84,136
5,3762.08,538.82,-573.25,6,43,52
1,8542.28,9390.89,80528.9,12,135,587
0,14722.1,95151,-8205,35,280,3543
0,5635.71,2256,-1618,53,97,171
5,3714.6,575.899,213.44,13,43,52
4,5292.49,2341.45,-928.33,13,71,188
4,6854.93,2013.95,23131.2,22,84,136
3,4404.94,1935.38,-523.075,75,63,166
3,11233,39187.6,-1231.91,158,205,1751
0,7474.26,7338,-2444,28,106,483
4,3933.47,614.711,-545.71,18,58,43
0,15667.4,191744,-10109,71,380,7094
4,7612.96,10881.4,-1318.18,84,114,689
1,4110.41,5773.2,-434.87,19,68,481
0,13458.1,128005,-5575,55,302,5316
0,9498.21,20818,-3721,161,162,1255
5,3987.18,652.548,-407.09,12,58,43
3,12294.8,36614.7,431481,13,225,1755
4,14184.5,78848.6,3400.93,158,320,3466
3,4398.55,1028.2,-1214.7,19,66,101
0,7905.8,24105,-2635,23,152,1408
2,4136.95,789.802,-1680.3,13,54,64
3,8862.85,10629.5,-827.926,23,139,587
5,3663.63,566.142,5.4233,14,43,52
3,14408.2,86962.5,-1513.49,82,291,3799
5,8077.7,9180.48,1674.5,41,144,553
